epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,194.488,0.27788,0.54952,1.00861,0.99628,1,0.995,0.995,0.0975,0.17562,0.90774,8.4847e-05,8.4847e-05,8.4847e-05
67,393.03,0.28366,0.55647,1.00874,0.99695,1,0.995,0.995,0.09612,0.1663,0.90828,8.24908e-05,8.24908e-05,8.24908e-05
68,594.149,0.27632,0.54493,1.00177,0.99628,1,0.995,0.995,0.09644,0.16427,0.90569,8.01346e-05,8.01346e-05,8.01346e-05
69,793.534,0.2762,0.53969,1.00553,0.99608,1,0.995,0.995,0.08868,0.1682,0.90431,7.77784e-05,7.77784e-05,7.77784e-05
70,993.405,0.27363,0.53992,1.00177,0.99611,1,0.995,0.995,0.0916,0.16387,0.90451,7.54222e-05,7.54222e-05,7.54222e-05
71,1197.87,0.27648,0.54808,1.005,0.99536,1,0.995,0.995,0.09279,0.16198,0.90346,7.3066e-05,7.3066e-05,7.3066e-05
72,1400.68,0.26824,0.53769,1.0016,0.99611,1,0.995,0.995,0.09838,0.16175,0.90562,7.07098e-05,7.07098e-05,7.07098e-05
73,1608.8,0.27045,0.52809,1.00128,0.99535,1,0.995,0.995,0.09707,0.16193,0.90745,6.83536e-05,6.83536e-05,6.83536e-05
74,1816.72,0.26963,0.53012,0.99815,0.99618,1,0.995,0.995,0.09681,0.16352,0.90643,6.59974e-05,6.59974e-05,6.59974e-05
75,2020.54,0.26932,0.53006,0.99907,0.99608,1,0.995,0.995,0.09451,0.16118,0.90531,6.36412e-05,6.36412e-05,6.36412e-05
76,2220.25,0.267,0.52597,0.99927,0.99627,1,0.995,0.995,0.09275,0.16752,0.90289,6.1285e-05,6.1285e-05,6.1285e-05
77,2420.27,0.26454,0.51855,0.9979,0.99614,1,0.995,0.995,0.09097,0.16367,0.90202,5.89288e-05,5.89288e-05,5.89288e-05
78,2621.2,0.26428,0.51688,0.99461,0.9962,1,0.995,0.995,0.09127,0.16748,0.9032,5.65726e-05,5.65726e-05,5.65726e-05
79,2831.94,0.25755,0.50606,0.99103,0.99665,1,0.995,0.995,0.09287,0.16299,0.90206,5.42164e-05,5.42164e-05,5.42164e-05
80,3038.02,0.26244,0.51059,0.99712,0.99692,1,0.995,0.995,0.09218,0.16121,0.90198,5.18602e-05,5.18602e-05,5.18602e-05
81,3242.86,0.2596,0.5088,0.99276,0.99711,1,0.995,0.995,0.09227,0.15997,0.90165,4.9504e-05,4.9504e-05,4.9504e-05
82,3448.07,0.25395,0.49755,0.9878,0.99739,1,0.995,0.995,0.0905,0.17022,0.90066,4.71478e-05,4.71478e-05,4.71478e-05
83,3655.71,0.25825,0.5057,0.98976,0.99688,1,0.995,0.995,0.09309,0.16319,0.90149,4.47916e-05,4.47916e-05,4.47916e-05
84,3856.32,0.252,0.50168,0.98737,0.99713,1,0.995,0.995,0.09275,0.16221,0.90056,4.24354e-05,4.24354e-05,4.24354e-05
85,4058.99,0.25221,0.49278,0.98892,0.99744,1,0.995,0.995,0.08942,0.15305,0.89836,4.00792e-05,4.00792e-05,4.00792e-05
86,4260.66,0.24899,0.48849,0.98512,0.99702,1,0.995,0.995,0.08983,0.15547,0.89944,3.7723e-05,3.7723e-05,3.7723e-05
87,4465.34,0.24805,0.49546,0.98437,0.99694,1,0.995,0.995,0.08929,0.15518,0.89875,3.53668e-05,3.53668e-05,3.53668e-05
88,4668.29,0.24348,0.48891,0.98144,0.99727,1,0.995,0.995,0.08664,0.16025,0.89818,3.30106e-05,3.30106e-05,3.30106e-05
89,4869.83,0.24439,0.48325,0.98023,0.99714,1,0.995,0.995,0.08671,0.15066,0.89753,3.06544e-05,3.06544e-05,3.06544e-05
90,5071.51,0.24534,0.48895,0.9854,0.99706,1,0.995,0.995,0.08734,0.15498,0.89694,2.82982e-05,2.82982e-05,2.82982e-05
91,5265.81,0.18257,0.23705,0.82826,0.99726,1,0.995,0.995,0.08557,0.15041,0.89179,2.5942e-05,2.5942e-05,2.5942e-05
92,5455.01,0.16602,0.2171,0.81232,0.99752,1,0.995,0.995,0.08005,0.14448,0.88726,2.35858e-05,2.35858e-05,2.35858e-05
93,5648.52,0.15702,0.20726,0.80706,0.99751,1,0.995,0.995,0.07882,0.14334,0.88411,2.12296e-05,2.12296e-05,2.12296e-05
94,5838.15,0.15417,0.20441,0.79956,0.99732,1,0.995,0.995,0.07588,0.13563,0.88224,1.88734e-05,1.88734e-05,1.88734e-05
95,6026.92,0.1508,0.1996,0.80009,0.99748,1,0.995,0.995,0.07551,0.13588,0.88229,1.65172e-05,1.65172e-05,1.65172e-05
96,6220.25,0.1453,0.19267,0.79585,0.9977,1,0.995,0.995,0.07501,0.13759,0.8808,1.4161e-05,1.4161e-05,1.4161e-05
97,6414.35,0.14266,0.19187,0.79683,0.99769,1,0.995,0.995,0.07441,0.13776,0.87968,1.18048e-05,1.18048e-05,1.18048e-05
98,6607.37,0.1422,0.18982,0.79214,0.99779,1,0.995,0.995,0.07333,0.13835,0.87924,9.4486e-06,9.4486e-06,9.4486e-06
99,6803.72,0.13904,0.18703,0.79242,0.99778,1,0.995,0.995,0.07269,0.13493,0.87873,7.0924e-06,7.0924e-06,7.0924e-06
100,7000.91,0.13792,0.18672,0.79125,0.99763,1,0.995,0.995,0.07175,0.13332,0.87822,4.7362e-06,4.7362e-06,4.7362e-06
