epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,200.586,0.42963,0.48168,0.97552,0.99604,1,0.995,0.95419,0.30514,0.19297,0.89341,0.000116263,0.000116263,0.000116263
32,196.615,0.42963,0.48168,0.97552,0.99604,1,0.995,0.95419,0.30514,0.19297,0.89341,0.000116263,0.000116263,0.000116263
33,406.628,0.42622,0.48222,0.97653,0.9964,1,0.995,0.95477,0.30275,0.19025,0.88965,0.000112336,0.000112336,0.000112336
34,615.46,0.42379,0.477,0.97375,0.99594,1,0.995,0.95974,0.29855,0.20237,0.88787,0.000108409,0.000108409,0.000108409
35,821.63,0.42202,0.47468,0.97218,0.9943,1,0.995,0.95672,0.30171,0.18414,0.89004,0.000104482,0.000104482,0.000104482
36,1027.15,0.41551,0.46725,0.97049,0.99621,0.99963,0.995,0.95797,0.29543,0.18252,0.88641,0.000100555,0.000100555,0.000100555
37,1235.42,0.41733,0.46686,0.97158,0.99582,1,0.995,0.95696,0.30058,0.19061,0.88935,9.6628e-05,9.6628e-05,9.6628e-05
38,1441.49,0.41408,0.46738,0.9715,0.99591,1,0.995,0.95996,0.29727,0.18414,0.88566,9.2701e-05,9.2701e-05,9.2701e-05
39,1648.17,0.41214,0.45494,0.96856,0.99537,1,0.995,0.95874,0.29862,0.19161,0.88622,8.8774e-05,8.8774e-05,8.8774e-05
40,1856.38,0.41112,0.46378,0.96632,0.99542,1,0.995,0.95765,0.29861,0.1856,0.88585,8.4847e-05,8.4847e-05,8.4847e-05
41,2064.11,0.40681,0.45331,0.96561,0.99605,1,0.995,0.95802,0.30005,0.20246,0.88656,8.092e-05,8.092e-05,8.092e-05
42,2274.72,0.40854,0.45639,0.96722,0.9961,1,0.995,0.95816,0.29874,0.18467,0.88661,7.6993e-05,7.6993e-05,7.6993e-05
43,2483.72,0.40396,0.44581,0.96571,0.9956,1,0.995,0.95846,0.29801,0.18077,0.88613,7.3066e-05,7.3066e-05,7.3066e-05
44,2691.3,0.406,0.4546,0.96445,0.99698,1,0.995,0.95828,0.2992,0.18891,0.8866,6.9139e-05,6.9139e-05,6.9139e-05
45,2901.58,0.39796,0.43814,0.96001,0.99675,0.99996,0.995,0.95829,0.29493,0.18211,0.88365,6.5212e-05,6.5212e-05,6.5212e-05
46,3107.27,0.39817,0.43851,0.96062,0.99595,1,0.995,0.95776,0.29577,0.17893,0.88337,6.1285e-05,6.1285e-05,6.1285e-05
47,3313.06,0.39608,0.43469,0.95892,0.99715,1,0.995,0.95776,0.29704,0.17878,0.88395,5.7358e-05,5.7358e-05,5.7358e-05
48,3521.8,0.39739,0.43914,0.96106,0.99652,1,0.995,0.96102,0.29346,0.17269,0.88221,5.3431e-05,5.3431e-05,5.3431e-05
49,3735.34,0.39524,0.43662,0.95778,0.99711,1,0.995,0.96211,0.29281,0.1765,0.88173,4.9504e-05,4.9504e-05,4.9504e-05
50,3942.93,0.3938,0.43044,0.95647,0.99672,1,0.995,0.96068,0.29233,0.17065,0.88107,4.5577e-05,4.5577e-05,4.5577e-05
51,4145.38,0.29245,0.18796,0.9,0.99716,1,0.995,0.96289,0.29227,0.1699,0.88031,4.165e-05,4.165e-05,4.165e-05
52,4342.22,0.28633,0.1778,0.89453,0.99713,1,0.995,0.96155,0.29012,0.16444,0.87849,3.7723e-05,3.7723e-05,3.7723e-05
53,4538.97,0.2846,0.17543,0.89203,0.99672,1,0.995,0.96226,0.29178,0.16356,0.87967,3.3796e-05,3.3796e-05,3.3796e-05
54,4732,0.28281,0.17438,0.89281,0.997,1,0.995,0.96145,0.29136,0.16327,0.87846,2.9869e-05,2.9869e-05,2.9869e-05
55,4921.41,0.28079,0.17104,0.88806,0.99711,1,0.995,0.96409,0.28653,0.15989,0.87556,2.5942e-05,2.5942e-05,2.5942e-05
56,5110.36,0.27928,0.16911,0.88746,0.99723,1,0.995,0.96583,0.28708,0.15822,0.87536,2.2015e-05,2.2015e-05,2.2015e-05
57,5297.52,0.27676,0.16751,0.88635,0.9977,1,0.995,0.9631,0.28862,0.15892,0.87595,1.8088e-05,1.8088e-05,1.8088e-05
58,5484.88,0.27579,0.16683,0.88398,0.99755,1,0.995,0.96429,0.28634,0.15795,0.87447,1.4161e-05,1.4161e-05,1.4161e-05
59,5673.61,0.2747,0.16544,0.88669,0.9977,1,0.995,0.96518,0.28514,0.15704,0.87343,1.0234e-05,1.0234e-05,1.0234e-05
60,5864.01,0.27466,0.16567,0.88402,0.99765,1,0.995,0.96442,0.2844,0.15717,0.8732,6.307e-06,6.307e-06,6.307e-06
