epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5902,3.88053,6.8281,2.72627,0.03215,0.26068,0.02309,0.01039,1.78921,3.2343,1.37523,7.77467e-05,7.77467e-05,7.77467e-05
2,73.3914,1.96671,3.57581,1.58441,0.05375,0.3882,0.0646,0.03761,1.53225,2.84586,1.17805,0.000154858,0.000154858,0.000154858
3,114.656,1.57983,2.95581,1.27547,0.17213,0.39169,0.16316,0.08885,1.65251,2.60841,1.09093,0.000229726,0.000229726,0.000229726
4,156.65,1.43027,2.6466,1.1311,0.3287,0.48428,0.38723,0.23793,1.38217,2.25832,1.05547,0.000227902,0.000227902,0.000227902
5,199.7,1.35539,2.39508,1.05961,0.46791,0.63068,0.59432,0.39029,1.23026,1.72671,0.95353,0.000224536,0.000224536,0.000224536
6,242.95,1.33334,2.18944,1.03397,0.66495,0.75798,0.78107,0.52467,1.17274,1.415,0.94129,0.00022117,0.00022117,0.00022117
7,285.422,1.29239,2.04651,1.01075,0.75945,0.83233,0.86385,0.55568,1.29715,1.18964,0.93378,0.000217804,0.000217804,0.000217804
8,326.197,1.27811,1.84053,0.99748,0.84677,0.89479,0.92082,0.62746,1.14011,1.03546,0.91447,0.000214438,0.000214438,0.000214438
9,368.183,1.28325,1.78795,0.99025,0.84173,0.8822,0.92013,0.62946,1.15014,1.02023,0.91781,0.000211072,0.000211072,0.000211072
10,409.19,1.24854,1.65238,0.97669,0.89006,0.92866,0.94571,0.62487,1.20391,0.90531,0.91714,0.000207706,0.000207706,0.000207706
11,450.049,1.25131,1.58558,0.97061,0.90253,0.94288,0.95551,0.66812,1.084,0.85291,0.89784,0.00020434,0.00020434,0.00020434
12,490.71,1.21593,1.55435,0.95933,0.91811,0.93774,0.95997,0.67876,1.07226,0.87336,0.90882,0.000200974,0.000200974,0.000200974
13,530.241,1.19927,1.48153,0.95016,0.92707,0.95787,0.96516,0.67862,1.06157,0.82336,0.90213,0.000197608,0.000197608,0.000197608
14,570.866,1.23026,1.42979,0.95639,0.93848,0.97339,0.97212,0.68595,1.08019,0.79528,0.90031,0.000194242,0.000194242,0.000194242
15,612.939,1.18287,1.38478,0.94412,0.94506,0.96081,0.97352,0.69183,1.04666,0.77891,0.89248,0.000190876,0.000190876,0.000190876
16,654.297,1.18741,1.35812,0.9429,0.95149,0.96622,0.98018,0.69092,1.04165,0.74492,0.88973,0.00018751,0.00018751,0.00018751
17,694.656,1.17495,1.29726,0.93983,0.9563,0.97857,0.98298,0.70292,1.02891,0.75168,0.88349,0.000184144,0.000184144,0.000184144
18,735.673,1.16833,1.26499,0.93864,0.96596,0.98414,0.98561,0.71091,1.01488,0.72817,0.88316,0.000180778,0.000180778,0.000180778
19,777.804,1.14332,1.26376,0.93293,0.95447,0.97487,0.98327,0.7052,1.02565,0.75948,0.89049,0.000177412,0.000177412,0.000177412
20,819.898,1.13856,1.23189,0.93024,0.97627,0.9793,0.99029,0.70638,1.02338,0.74748,0.88808,0.000174046,0.000174046,0.000174046
21,862.783,1.12509,1.17991,0.92887,0.98332,0.98365,0.99213,0.70834,1.03802,0.75165,0.89092,0.00017068,0.00017068,0.00017068
22,905.345,1.12156,1.18139,0.92478,0.98674,0.98437,0.99339,0.72278,0.99315,0.70563,0.88373,0.000167314,0.000167314,0.000167314
23,948.264,1.11819,1.16378,0.92587,0.98633,0.99126,0.99409,0.72331,0.98138,0.72189,0.88753,0.000163948,0.000163948,0.000163948
24,988.858,1.11326,1.10243,0.92473,0.98937,0.98957,0.99382,0.7255,0.97455,0.70826,0.8833,0.000160582,0.000160582,0.000160582
25,1029.24,1.12022,1.09651,0.92512,0.9915,0.99015,0.99453,0.72468,0.98019,0.71307,0.88571,0.000157216,0.000157216,0.000157216
26,1070.23,1.09261,1.07798,0.92053,0.98965,0.99329,0.99449,0.7276,0.97889,0.69826,0.88234,0.00015385,0.00015385,0.00015385
27,1110.53,1.08322,1.04927,0.91805,0.99308,0.99179,0.9948,0.7356,0.95657,0.69531,0.88358,0.000150484,0.000150484,0.000150484
28,1150.41,1.0825,1.04759,0.91657,0.99142,0.99642,0.99484,0.73116,0.96681,0.68754,0.88138,0.000147118,0.000147118,0.000147118
29,1189.99,1.08635,1.03745,0.91754,0.99282,0.99336,0.99491,0.70887,1.03763,0.71542,0.90283,0.000143752,0.000143752,0.000143752
