epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9993,1.2741,1.30983,0.99488,0.98718,0.99058,0.99451,0.70637,1.09873,0.81357,0.94388,7.735e-05,7.735e-05,7.735e-05
2,50.7901,1.21895,1.16688,0.96306,0.99447,0.99623,0.99496,0.68503,1.14166,0.79236,0.95474,0.000154744,0.000154744,0.000154744
3,76.8218,1.18902,1.08449,0.95587,0.99503,0.99765,0.99494,0.70925,1.03808,0.73515,0.90909,0.000230175,0.000230175,0.000230175
4,104.064,1.1864,1.05345,0.94931,0.99537,0.9934,0.99495,0.68287,1.12813,0.75721,0.92273,0.000229164,0.000229164,0.000229164
5,132.315,1.19711,1.05933,0.94922,0.99474,0.99747,0.99498,0.70749,1.04188,0.7246,0.90839,0.000226219,0.000226219,0.000226219
6,158.013,1.15495,0.97722,0.94018,0.99559,0.99786,0.99494,0.71289,1.02439,0.6978,0.89942,0.000223274,0.000223274,0.000223274
7,185.52,1.16219,1.02408,0.93379,0.99575,0.99773,0.99489,0.70411,1.05069,0.71042,0.90686,0.000220329,0.000220329,0.000220329
8,213.026,1.15264,0.98919,0.93555,0.99615,0.9984,0.99499,0.7113,1.01785,0.6917,0.8922,0.000217383,0.000217383,0.000217383
9,240.329,1.16591,1.00647,0.93619,0.99642,0.99786,0.99499,0.70077,1.07438,0.69345,0.89981,0.000214438,0.000214438,0.000214438
10,267.634,1.14673,0.94327,0.93373,0.99482,0.99675,0.99499,0.68757,1.10107,0.68735,0.9109,0.000211493,0.000211493,0.000211493
11,295.394,1.14831,0.97226,0.92745,0.99646,0.9978,0.995,0.706,1.04342,0.68023,0.89314,0.000208548,0.000208548,0.000208548
12,322.908,1.1299,0.93296,0.92581,0.99663,0.99853,0.99499,0.70211,1.03782,0.67089,0.89714,0.000205602,0.000205602,0.000205602
13,350.243,1.11395,0.90787,0.92268,0.99609,0.99775,0.99499,0.72135,0.99482,0.64762,0.88842,0.000202657,0.000202657,0.000202657
14,378.124,1.11109,0.90064,0.92349,0.99682,0.99845,0.995,0.71777,0.99693,0.63524,0.88905,0.000199712,0.000199712,0.000199712
15,407.209,1.1254,0.90914,0.92337,0.99663,0.99791,0.99493,0.69773,1.07484,0.64204,0.90534,0.000196767,0.000196767,0.000196767
16,434.961,1.12767,0.89284,0.92811,0.996,0.99792,0.99495,0.71565,1.0023,0.6269,0.88819,0.000193821,0.000193821,0.000193821
17,461.495,1.1184,0.87005,0.92059,0.99707,0.9987,0.995,0.71562,1.0044,0.62543,0.88806,0.000190876,0.000190876,0.000190876
18,488.471,1.11748,0.87818,0.91776,0.99687,0.99886,0.995,0.69248,1.10018,0.62755,0.9063,0.000187931,0.000187931,0.000187931
19,515.539,1.11855,0.8564,0.92585,0.99641,0.99953,0.995,0.72155,0.98504,0.59845,0.88302,0.000184986,0.000184986,0.000184986
20,543.067,1.10214,0.86876,0.91512,0.99765,0.99922,0.995,0.71194,1.02971,0.61654,0.88967,0.00018204,0.00018204,0.00018204
21,570.244,1.09633,0.86257,0.91777,0.99756,0.99847,0.995,0.72305,0.99476,0.61504,0.89026,0.000179095,0.000179095,0.000179095
22,597.856,1.09985,0.84907,0.91561,0.99731,0.99825,0.995,0.71833,0.9824,0.60524,0.88208,0.00017615,0.00017615,0.00017615
23,625.041,1.09326,0.84975,0.91649,0.99683,0.99885,0.995,0.71277,1.02286,0.60293,0.89238,0.000173204,0.000173204,0.000173204
24,653.507,1.09297,0.82558,0.91591,0.99685,0.99847,0.995,0.72224,0.98267,0.58668,0.88003,0.000170259,0.000170259,0.000170259
25,681.198,1.09413,0.83525,0.91329,0.99667,0.99914,0.995,0.71183,1.01721,0.60422,0.89144,0.000167314,0.000167314,0.000167314
26,708.997,1.09382,0.83249,0.90831,0.99652,0.99837,0.995,0.72197,0.98354,0.58918,0.88561,0.000164369,0.000164369,0.000164369
27,734.859,1.09127,0.81821,0.91294,0.9974,0.99923,0.995,0.70836,1.03859,0.58494,0.88992,0.000161424,0.000161424,0.000161424
28,763.095,1.08895,0.81139,0.91321,0.99763,0.99924,0.995,0.72523,0.9777,0.56942,0.88014,0.000158478,0.000158478,0.000158478
29,791.728,1.07271,0.79044,0.90779,0.99747,0.99856,0.995,0.71666,1.00288,0.58148,0.88678,0.000155533,0.000155533,0.000155533
30,818.621,1.09009,0.79834,0.91315,0.99713,0.99921,0.995,0.7148,1.00933,0.57614,0.88729,0.000152588,0.000152588,0.000152588
31,845.274,1.09854,0.80868,0.91268,0.99752,0.99883,0.995,0.70781,1.02463,0.56622,0.88996,0.000149643,0.000149643,0.000149643
32,871.755,1.09584,0.80543,0.91162,0.99699,0.99899,0.995,0.72587,0.97232,0.56618,0.88317,0.000146697,0.000146697,0.000146697
33,898.275,1.07933,0.79954,0.91201,0.9973,0.99993,0.995,0.72621,0.97384,0.5602,0.88286,0.000143752,0.000143752,0.000143752
